text	sentiment	emotion
ما شاء الله ارتفاع 2.36% عند 39	p	Happiness
المصيبة يمن علينا في حلالنا ذا الأشكال فرقاها عيد	n	Anger
روح اشتر سهم اكسبو ههههههههههههههههههههههه	p	Happiness
بارك الله فيك ونفع بك وبعلمك التعمير ومسك لوسمحت	p	Happiness
علمك غانم الأحد قريب	p	Happiness
ههههههههه الله يرزقك من واسع فضله .	p	Happiness
سعر مناسب في متناول الجميع	p	Happiness
اي خبر الله يسعدك	t	Happiness
كمافي الاعلان متوقع تفاعل سهمي اسلاك ودور مع الاعلانيين والاثر المالي لدور الربع القادم الف مبروك	p	Happiness
بشرك الله بم يسرك	p	Happiness
الله يجزاك خير ويبارك لك	p	Happiness
وعليكم السلام ورحمة الله وبركاته الله يسعد صباحك ابوعبدالله وتوصيه موفقه باذن الله	p	Happiness
الله يبارك لملاك السهم سهم ذهب بيد صندوق لايشبع	p	Happiness
انشهد خاصه صدر سهم عاجبني	p	Happiness
تعجبني يا بو سالم من صبر ظفر 22 بتشوفها قريبا >>>> 34 هدف	p	Happiness
اليوم بوادر تسحين اغلاق 11.62 روعة ....	p	Happiness
هههههههههههه ان شاءالله يوصل ٧٧	p	Happiness
والله الود ودنا يطير	n	Sadness
بارك الله في علمك وحضورك	p	Happiness
جعل يدينك ماتمسها النار وعيونك ماتشوف غير الجنه	p	Happiness
تم اختراق المقاومة 43.20 ولله الحمد	p	Happiness
العفو يابوخالد اسعدني مروك الله يحفظك	p	Happiness
صيدة فنية ممتازة بالتوفيق ان شاء الله	p	Happiness
تسلم ياقناااااص صيده موفقه	p	Happiness
ماشاء الله وتبارك الله الله يسعد الجميع	p	Happiness
تقرير راااائع من alzahid	p	Happiness
ولله الحمد كم استهداف المحدد لساكو مبروك لمن تابع بعنوان الموضوعي المثبت الثاني	p	Happiness
يعطيكي العافيه مجهود جبار تذكرين به فتشكرين فايف ستار ، ٥****5	p	Happiness
أسعار اليوريا ممتازه .... بالتوفيق لملاكــــــه	p	Happiness
الف مبروك التميز يستاهل اخونا ستورم ولمزيد من التألق و الإبداع .	p	Happiness
كل اسهم الطيران والسياحه مستفيدة غالبا	p	Happiness
بارك الله فيك وزادك من فضله	p	Happiness
الله يطمنك بما تحب وشاكر لك مشاركتك الله يجزكم الجنه	p	Happiness
ممتاز ما شاء الله	p	Happiness
الحمد لله يارب يواصل تحقيق أهدافه	p	Happiness
والله ما صدقت اتخلص منه على الافتتاح	n	Sadness
حبيبنا الله يسعدك لاحظ على الفريم السنوي يعتبر اعلى اغلاق في 9 سنوات وهذي اشاره ايجابيه	p	Happiness
العفو يالغالي وباذن الله يحقق اهدافه تشرفت بمرورك	p	Happiness
شكرا الله يوفقك ويزيدك من علمه.	p	Happiness
اغلب الاسهم بالقاع وان شاء الله فيها كم تدبيله	p	Happiness
تستاهل الطيب اسعدني مرورك الله يجزاك خير والجازي ماسويت شي	p	Happiness
بارك الله فيك عمدي تحت 70 ابي 90 او100 ان شاءالله	p	Happiness
عودا حميدا الحمد لله علي العودة وسلامة الاسفار	p	Happiness
الله يبارك لك ان شاء الله يدبل	p	Happiness
قطاع الاسمنت مستفيد بشكل كبير	p	Happiness
تسلم ياغالي ربي يحفظك	p	Happiness
---- ربي ينور عليك كلامك در ربي يرزقك من واسع فضله	p	Happiness
باذن الله يسعد ملاكه ١٥.٣	p	Happiness
مساء النور والسرور . بارك الله فيك ورحم والديك.	p	Happiness
ابشروا أنا ما وجدت هنا إلا لإرضاكم وش تبون بس تبون الرسمة زهري ولا أخضر؟	t	Happiness
بروج اليوم تحرك وفرحت لك ليتك جنيت ربحك واشتريت من تحت في المزاد	p	Happiness
تحيا و تدوم ي بعد حيي و الجميع ، بإذن الله تعالى	p	Happiness
مبروك لملاك سهم نادك (مضارب فخم ) حقق الاهداف وزياده	p	Happiness
مبرروك 132 عقبال الموارد 122 132 الان جمجوم133 الله يرزق ملاكه	p	Happiness
تم الدخول على 84 ونقول يارب 👍	p	Happiness
إس آند بي 500 يحقق رابع إغلاق قياسي على التوالي مع مكاسب شركات التكنولوجيا	p	Happiness
صح لسانك وعلى شانك استاذي ودووووس هههههههه ابشر بسعدك	p	Happiness
ههههههههه يقولون إللي ما يعرف الصقر يشويه الله يعوضك عنه خير.	n	Sadness
سوف يكون متصدر لاتكلمني القادم اجمل	p	Happiness
بارك الله فيك وجزاك الله خير	p	Happiness
تم البيع ولله الحمد	p	Happiness
ههههههههههههههههههههههه تبي عينك تشوف 160 قريب يالعضو 😂	p	Happiness
تبقى اخوي سلطان ماتقصر الله يوفقك	p	Happiness
بارك الله فيك ونفع بعلمك اخوي لوبررررررريف سدافكو سلوشنز من يجيب ال 500اول حبيت اشاركك ووجة نظري يالغلااااا	p	Happiness
جزاك الله خير ومشكوووووور والله يعطيك الف عافيه نتمنى استمرار ارتفاع السهم ان شاء الله بالتوفيق يارب للجميع	p	Happiness
خبر ايجابي للي يسألون عنها	p	Happiness
صحيح كلامك. هو قبل النتائج غالبا يحتفل. الله يرزق الجميع	p	Happiness
الحمد لله رب العالمين	p	Happiness
بإذن الله إغلاق أخضر يسر الناظرين	p	Happiness
سهم مجموعة إم بي سي يسجل مكاسب بـ 220 % مقارنة بسعر الإدراج	p	Happiness
سيسكو مبروك ما تحقق حتى الان سجل 31.65 القادم اجمل بحول الله وقوته	p	Happiness
12145.45 ... 216.56 ماشاء الله تبارك الله	p	Happiness
طلع راس المال وابدا نمي الارباح فقط والله يبارك لنا ولك	p	Happiness
موفقين انت وملاكه ان شاء الله نبارك لكم قريب	p	Happiness
ينساب مغري واموره في السليم	p	Happiness
خبر ايجابي الخفض سيكون مجدول اعتبارا من يونيو 2024	p	Happiness
مرحبا شغال معي على قوقل كروم ممتاز ربي يحفظك.	p	Happiness
ممتاز 8 مليون اجل من حظنا يصير اخف ويتحرك جزاك الله خير	p	Happiness
الف مبروك وتستاهل والله انك لحيه غانمه	p	Happiness
الاسبوع القادم ان شاء الله ربيع ✅✅✅✅	p	Happiness
اغلاق اسبوعي 133.80 فالكم الخير والربح بحول الله وقوته	p	Happiness
واياك يابعدي ربي يسعدك ويحفظك	p	Happiness
تم تسجيل الهدف 4.62 امس الاثنين وتسجيل 14% خلال 14يوم تداول الله يرزق الجميع	p	Happiness
كفوك الطيب يالامير ربي يحفظك	p	Happiness
بالعكس السوق جالس يعطي كثيرآ كثيرآ ....	p	Happiness
انظر انه يتجه الى النسبة ✅	p	Happiness
من طول الغيبات جاب الغنايم	p	Happiness
توصيه موفقه بارك الله فيك	p	Happiness
الله يرزق ملاكها... بصراحه الخبر قوي وإيجابي جدا لمستقبل تلك الشركات وسيظهر أثر الخبر على أسعارها مع الوقت للأعلى	p	Happiness
وفالك الخير لاهنت جعلك تسلم حبيب الهوامير والشعب السعودي والامتين العربيه والاسلاميه 100 حته وحده	p	Happiness
هلا بالألماني 😍😍💲 وتوصية موفقة ان شاء الله	p	Happiness
إغلاق جيد جدا 23.68 هدف قريب ان شاءالله والوقف لمن أراد الوقف موجود	p	Happiness
ان شاء الله تكون بداية الانطلاقة للسهم وتحسين الصورة السيئة التي لازمت السهم لفترة طويلة.	p	Sadness
الله يعافيك يالغلااااا ارررحب مليون دووووم الوناسه والروقااان ان شاء الله معك المايك أستاذي	p	Happiness
خبر ممتاز يدعم الأسواق بارك الله فيك	p	Happiness
محتفل بالفوز ياحبي لابو راجح دايم له حكايه	p	Happiness
انا متفائل مع الادارة الجديدة ان شاء الله تكون مثل ادارة عذيب الجديده	p	Happiness
ألف ترليوووون مبرووووك 77.30	p	Happiness
خبر أيجابي من وجهة نظري	p	Happiness
مبروك والي الطريق الي 85.50 قمة سابقة بعد الارتداد من آخر قمة 73	p	Happiness
رابع خبر جيد خلال هالشهر ونص نشوف بكره وبعده ايش يصير ان شاءالله.	p	Happiness
السهم ممتاز جداً سعره 134 وأعتقد أن 150 سيصلها في رمشة عين شكرا لصاحب الموضوع	p	Happiness
الف شكر اخوي نايف واضح فيه اسعار جديده اسفل	p	Happiness
بالتوفيق بارك الله لملاكه	p	Happiness
احسنت وكلا الشركتين اللتان اصبحتا شركة واحده تحت سيطرة صندوق الاستثمارات العامة اجمل مافي الموضوع ولادة كيان فندقي عملاق جديد	p	Happiness
وياك يارب وبالتوفيق ان شاء الله	p	Happiness
صحيح عشان كذا فيه بركه الذهب على اسمه.👍	p	Happiness
التفائل ملازمنا على طول الايام	p	Happiness
جزاك الله خيرا على المعلومات الرائعة اخي المليونير الرابح الف شكر وتحية واسئل الله لك التوفيق	p	Happiness
يسعد مساك ومساء الجميع هونها وتهون بكون اقل المتفائلين وراضي براية صفراء خل نفتح شوي	p	Happiness
شكرا يالهامور على مساعدتك زملائك دائما في وقت الحاجة	p	Happiness
بارك الله فيك يا غالي توصية موفقه الى الاهداف وابعد ان شاء الله تعالى	p	Happiness
الف مبرك خبر اللجين	p	Happiness
اهلا بيك ربنا يرزقك من نعيمه	p	Happiness
تحرك شركات البيتروكميكل قاب قوسين او ادنى جمعو الربع وهو على المنصه وبالتوفيق للجميع	p	Happiness
بارك الله فيكم جميعا وشكرا لتفاعلكم اسال الله لكم الرزق الحلال الوفير	p	Happiness
الف مبرووووووك يستاهل التميز	p	Happiness
جزاك الله كل خير..	p	Happiness
ماشاء الله السهم يلامس الهدف بفضل الله الاعلى 114	p	Happiness
بارك الله فيك ابو عبد الله جهودك مميزة كتب الله لك الاجر	p	Happiness
ون خاندريد إن شاءالله منتو	p	Happiness
السعادة من الله تكون في الحياة الطيبة تحياتي...	p	Happiness
الحمدلله وتستغرب من اللي كانوا بالجمعية ومصوتين بقبول التجزئة لكن الحمدلله على نعمة الرفض	p	Happiness
لايوجد ديون على الشركة سابك 50٪ الاجانب 13٪ يارب نشوف السهم اكثر 200 ريال ويسعد ملاك السهم	p	Happiness
الاهداف بارك الله لنا ولك الله يرزق كل مسلم	p	Happiness
جزاك الله خير ماقصرت راحت علي توصيتك بس الجايات اكثر ان شاء الله كفووووووووو بيض الله وجهك	p	Happiness
جهد مبارك الله يكتب لك الاجر ويبارك في الباقه ان شاء الله تحياتي	p	Happiness
الله يوفقك ويسعدك يارب	p	Happiness
قوة المال والصناديق تتكلم مبروك لك ولجميع المتداولين	p	Happiness
اللهم لك الحمد ان فيه احد يفكر في تهامة	p	Happiness
محفز كبير ياخي ملاك عذيب في هذا المنتدى من أعجب الناس	p	Happiness
كفوووو الله يسعدكم ويغنيكم من فضله أرامكووو سهم الخير والتوازن لحركة تاسي بارك الله فيك	p	Happiness
ابشروا بالخير ايجابية ايجابيه ان شاء الله	p	Happiness
اسيج = فقط 29 مليون اسهم سايكو = فقط 30 مليون سهم وارباحها للعام الحالي طيبه جدا	p	Happiness
المال عديل الروح اسال الله التوفيق للجميع	p	Happiness
شكلك اول مره تتابعه كيف لو كل يوم لحظي معه يجنن اللي مايتجنن بس والله كفوااا يابعدي	p	Happiness
مبروك لملاكه الاغلاق عند 22.70	p	Happiness
الله يبارك فيك و يرزقك من واسع فضله..و ماأجمل حب الخير..شعار جميل و الأجمل عدم تنازلك عنه..	p	Happiness
يجعل والديك بالجنة ياوجه السعد يعني بكرة باذن الله ارمي كل السيولة الي باقية معي تعديل بالمطورة	p	Happiness
خبر ممتاز وداعم جدا	p	Happiness
فعلاً السيوله اليوم تأمينيه بأمتياز جميع اسهم القطاع تحركت	p	Happiness
تسلمووووون ربي يحفظكم ويرزقكم من واسع فضله وكرمه اسعدني مروركم الرائع	p	Happiness
ا لسهم للمستثمر ( الصبور ) على المدى البعيد شي يسر الخاطر	p	Happiness
ماشاء الله السيوله الداخله فووق 20 ملييون	p	Happiness
ماشاء الله 29.30 مبروك ما تحقق ومزيد من العطاء ان شاءالله	p	Happiness
شغل المؤشر اليوم تماااام	p	Happiness
خير ما سويت، الله يوفقك ويرزقك	p	Happiness
سهم حلو سهم قيادة في قطاع التامين	p	Happiness
موضوعي كان يوم سعره 98 وسجل خلال يومين 103.20 5٪ تقريباً صعود ودامه فوق 98 مازال ايجابي	p	Happiness
ماشاء الله الاعلى 154.80	p	Happiness
الحمد لله من اول الموجة معاها طلعنا منها 3.29 الله يرزق من اخذها	p	Happiness
وعليكم السلام ورحمة الله وبركاته وصباح النور والطيب بالتوفيق ابوعبدالله 👍	p	Happiness
شف اسعار الادوية أنخفضت	n	Sadness
الله يرزقك اضعاف اضعاف ماتمنى يا ابو سعود 🍀🍀	p	Happiness
الله يبارك بالجميع ان شاء الله القادم اجمل	p	Happiness
ان شاء الله تعالى مبروك الأقفال الرائع 27.45ريال السوق نازل حدود 200 نقطه	n	Happiness
تبوك ياتبوك يازين فزاته	p	Happiness
جزاكم الله خير و بركه	p	Happiness
بارك الله فيك ووفقك لكل خير نعم العب معه يوميا لأنه يعطي ...	p	Happiness
مشكور على التصحيح اي نعم بالارباح	p	Happiness
آمين ولك بالمثل جزاك الله خير اخي الكريم تحياتي لك	p	Happiness
حفلات شمس ونعومي والباحه بالنسب القصوي احتفال بهلله النسب العليا	p	Happiness
ماشاءالله مبروك ماتحقق 66.50	p	Happiness
اذا انتهى المضارب من التجميع فسوف يسعد ملاكه	p	Happiness
الشركه في تحسن ولله الحمد	p	Happiness
يا حبنا لهذا السهم الريشه باذن الله	p	Happiness
افتتاح على ارتفاع كما توقعنا	p	Happiness
ممتازة وخير وبركة ومع الوقت ونمو رأس المال ستحقق اكثر واكثر	p	Happiness
اذا جاب المصافي 91 اليوم يروح الزعل ويرضا الزعلان	p	Happiness
مبروك النسبة اميانتيت بسعر 60.2	p	Happiness
الله يسعدك ذكرتني وانا اكتب 🤣 تخيلت الرايق لايكون انه أنا 🤓🤓🤓😂	p	Happiness
توصيه موفقه ان شاء الله دايما مبدع في كل توصياتك	p	Happiness
شغلك جميل وواضح ومرتب الشارت يدعو للتفاؤل	p	Happiness
بالتوفيق لملاك السهم أن شاء الله يفرحون	p	Happiness
جزاك الله خيرا ====	p	Happiness
قبل شهر ب 50 والان 72 صار حلو السهم هههههه	p	Happiness
حيو المحارب نقل رائع منك شغالين الأجانب بيع وشراء الله يبارك للجميع .	p	Happiness
الله يرزقك ملاكه وعقبال النسب	p	Happiness
ماشاء الله نبارك لسوقنا الاحد	p	Happiness
هلا وغلا يا ابوعبدالله وفقك الله يابعدي	p	Happiness
اليوم فيه شراء واضح بالسهم توصيه موفقه اخوي Storm21	p	Happiness
سعر 26/80 دعم 26/50 مقاومه 27 مقاومه 27/50 الهدف القريب 30 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👌🏻👌🏻👌🏻👌🏻👌🏻👍🏻👍🏻👍🏻👍🏻👍🏻	p	Happiness
شكرا على الاضافة الجميلة شرفني مرورك	p	Happiness
احسن تلبسهم ملابس العيد من بدري وترشهم طيب ==== وربنا يخليهم لك	p	Happiness
خذت حقها من الارتفاع الله يبارك للملاك	p	Happiness
جزاكم الله خير والله يرزقكم م تحبون	p	Happiness
مبروك الف مبروك الله يوفق ويرزق ملاكه	p	Happiness
كفوكم الطيب ربي يحفظكم ويسعدكم	p	Happiness
راح ادرعم في سابك. بوت 😀	p	Happiness
مبروك وصل49 وباذن الله اختراق 50	p	Happiness
الله كريم يالفارس المغوار الفذ...وربي يسعد أوقاتكم بكل خير 🌹	p	Happiness
بارك الله فيك ، منحة بنك الإنماء سهم واحد لكل 4 أسهم	p	Happiness
ابشركم نسبتين تقريباً متتالية امس و اليوم	p	Happiness
الف مبروك الف مبروك	p	Happiness
جزاك الله كل خير .	p	Happiness
سهم ايجابي اهدافة ان شاءالله 31.50 32.10 33.05 34 35.55 39.60 يصيبها ان شاءالله بالتوفيق	p	Happiness
وصلت البشارة نسبة تحت✋	p	Sadness
جزاك الله خير ورحم الله والديك يالاميررررر واجبنا ربي يسعدك ويحفظك لانريد الا دعواتكم يالطيبين في ظهر الغيب مكسبنا	p	Happiness
نعم صحيح الله يوفقك	p	Happiness
يبارك بعمرك واهلك ومالك	p	Happiness
الحين 64.80 ماشاء الله	p	Happiness
ما شاء لله طار الي 1.8	p	Happiness
بيض الوجه وماقصر اكثر من 5 % الحمد لله وتستاهلون كل خير	p	Happiness
ان شاءالله مستمر بالصعود	p	Happiness
اليوم الثلاثاء 23 - 1 - 2024 السعر 33.50 ريال ==== اللهم زد وبارك	p	Happiness
. . . السوق أغلب الشركات ارتفعت والحمد لله	p	Happiness
فعلا توصية الرجال للالماني ممتازه وصل الظاهر ٩٥ ريال من ٧٤ ريال تقريبا ٢١ ريال ارتفاع	p	Happiness
ماشاء الله تبارك الله ، الله يبارك له هذا بايع عقار ب 16مليون اذا كانت الدلالة له وحده 😎😎😎	p	Happiness
آمين يا رب العالمين ... جزاك الله خيرا.	p	Happiness
ارحبوووووو يااالسحيمي لا تعبت والحمدلله ع السلامه وعوده حميده	p	Happiness
ههههه احسنت عز الله انهم صيد دسم لصناديق المحلية	p	Happiness
هلا بك يابعدي اررحب ربي يسعدك تراني نمت وصحبت أرد عليك يالاميررررر وقفك الله وجزاك الله خير	p	Happiness
تمت الموافقة على الطلب المرفوع ، الله يرزق ملاكه	p	Happiness
انت داهيه كل توصياتك تصيب اهدافها وبنفس اليوم ماشاءالله تبارك الله	p	Happiness
ألف مبروك ياشاكر فعلا هذا السهم غير كل شي ماعدا المضارب بالتوفيق والنسب ان شاء الله	p	Happiness
عدد اسهمه 20 مليون فقط لاغير👍🌹👍🌹👍🌹	p	Happiness
مجلس إدارة صناعة الورق يوصي بتوزيع أسهم منحة بنسبة 10 %.. وأرباح نقدية بنسبة 5 % عن الربع الثالث 2023	p	Happiness
الخبر ايجابي بكل المقاييس الشراكة الاستراتيجية بتكون لبناء نمو مستدام يعني بالشعبي سمننا في دقيقينا	p	Happiness
الف مبروك ماشاء الله	p	Happiness
ماشاء الله تبارك الرحمن هل عنده قناه في اليوتيوب عشان اتابعه	p	Happiness
اللهم صل وسلم على نبينا محمد وعلى ال محمد	p	Happiness
السهم فرصة قوية 🌹	p	Happiness
إغلاق إيجابي 48.5 بارتفاع 1.05٪	p	Happiness
جزاكم الله خير الجزء موضوع مميز بارك الله فيكم	p	Happiness
مثل ماتوقعنا تاجيل الاجتماع ويحدد لاحقا الحمد لله	p	Happiness
تسلم ربي يحفظك ويسعدك اضافه جميله يامبدعنا	p	Happiness
الهاي السنوي ٣٤،٦ وصلها اخترقها الأمور زينة ماهي بنحول والشاهي باالله عليك السكر دايت	p	Happiness
مبروك انفجار اعاده للأعلى اسهم الصندوق تغرد لوحدها	p	Happiness
امين ماشاء الله عليك بارك الله فيك ورحم والدينا ووالديك	p	Happiness
من واقع خبره بسيطه والله اعلم مبروك عليكم السنه الجديده Happy new year	p	Happiness
بارك الله فيك يابو خالد	p	Happiness
تحقق الهدف الثاني 34،60 ولله الحمد 😍😍😍😍	p	Happiness
صحيح وبإذن الله يسعد ملاكه غدًا	p	Happiness
الله يرفع قدرك ويعلي شانك ياغالي تابع سلوووووشنز بكره [/font]	p	Happiness
الحمدُ للهِ حمدًا كثيرًا طيبًا مباركًا فيه كما يحبُّ ربُّنا أنْ يُحمدَ وينبغي له	p	Happiness
يمدحون سوق هندوراس سمعت انهم يسمونه ابو التباسي مافيه الا تقليط مفطحات على التباسي اترك عنك ابو المآسي 😇	p	Happiness
كفوووو ينطح كفو طلعنا من mbc ودخلنا معك موارد وربنا يكتب اللى فيه الخير	p	Happiness
موعدنا بعد الظهر إن شاء الله ، سترى مايسرك	p	Happiness
الان 20. 94 هدف 25 وقف 19.90 بالتوفيق	p	Fear
طيب كويس ماقصر ارتفع من 129 الى 148 حلو	p	Happiness
ههههه المره ذي مافي كلاب عارفين بنصيدهم	p	Happiness
ارى والراي لك قرطبة ممتاز	p	Happiness
حلو معرفك حقيقيه يزين النفسيه محتاجين سفره من غير رجعه للسوق ولا لأعضاء هوامير	p	Happiness
انا اساسا بعت تداول ب221 وعززت باللجين بعد مافرط الان شارته فوق المطلوب والحمد لله والشكر	p	Happiness
اتوقع وبنسبة كبيرة بيستلم الراية من تشب والله يرزق ملاك السهم 😇	p	Happiness
ماشاء الله 795 بقائه اعلاها اقرب هدف800 818	p	Happiness
الله يبارك لكم و يرزقكم ببركة عطاء السهم في اتجاه صاعد	p	Happiness
مبكو سابتكو تفرج عليهم غداً واستمتع بالرحلة	p	Happiness
بيض الله وجيهكم استخرنا أرض بإذن الله	p	Happiness
التعاونيه وباذن الله تسعدك	p	Happiness
على فكرة نسيت اكمل المشاركة مبروك النسبه غدآ بإذن الله ملاك اللجين والفال ان شاءالله لجميع الشركات بتاسي	p	Happiness
سبحان الله العظيم الاجانب اذا اعتنقوا الاسلام يحسون احاسيس جميله سبحان الله اللهم ثبتنا واياهم على دينك حتى نلقاك	p	Happiness
تمام الله يعطيك العافيه ويوفقك 🌹	p	Happiness
جزاك الله خير وتوصية حلوة	p	Happiness
اسبرنقه ههههههه نقطتنا الاخيرة تم تحقيقها 11822 وصلنا 11821.26 تقريبا 100 نقطة وارتديناها الى 11938	p	Happiness
نسأل الله السلامة والعافية السوق بخييييييير وجالس يعطي	p	Sadness
مرحبا ملايين كفوك الطيب 🌷❤ ان شاءالله اليوم. وبكره يسعد الجميع 😍🤲	p	Happiness
الله يبيض وجهك يابومحمد دائما مبدع كالعاده لاجديد اتمنى لك التوفيق والرزق الوفير	p	Happiness
يستحق التثبيت جزاك كل خير	p	Happiness
يارب يفرح الجميع والجميع يستفيد وينك يا ادمن البنقالي تكلم المضارب يحركه	p	Anger
المؤشر بيكمل صعودة التالي بمشاركة الشركات الاخرى متوسطة الاسهم بإذن الله تعالى	p	Happiness
١١٩٤٢.٣٨ تنتهي السلبية بالاغلاق فوق هذا الرقم إجازة سعيدة للجميع	t	Sadness
يازينه ياليتنا تورطنا معه ياحلوها ماشاء الله	p	Happiness
يرتد ويغرد باخضرار اللون	p	Happiness
ماشاء الله افتتاح على ارتفاع جيد 10966	p	Happiness
يعطيك العافيه اخوي اتمنى لك التوفيق	p	Happiness
الله يوفق ويرزق الجميع وإن شاء الله عام 2024م عام خير وبركه ودام عزك يا وطني 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦	p	Happiness
11970/12000 اقصد إغلاق شهري سنوي ان شاء الله	p	Happiness
الله يحقق مرادك ويعطيك على فالك	p	Happiness
ماشاء الله تبارك الله ارتفاع السوق بقيادة قطاع البنوك	p	Happiness
الله يجزاك الجنه ويكتب اجرك اخوي ....أستاااذالغرااام	p	Happiness
إن شاء الله يسعد ملاكه	p	Happiness
اقفال السهم على ارتفاع + 4.10 (6.79%) عند 64.5	p	Happiness
بارك الله فيك ، ما شاء الله تبارك ، اللهم زد و بارك	p	Happiness
سنة 2024 م بأذن الله تعالى ستكون سنة خير وبركه لأهل السوق وسنة فك تعليقات الآف الناس	p	Happiness
الحمد لله صدناه بتوصية ممتازة	p	Happiness
ماشاء الله 17.26 بما يعادل 9٪ واتمنى نشوف اهداف فووووق بإذن الله الله يرزق الجميع	p	Happiness
مرورك اروع ربي يحفظك ويوفقك يارب	p	Happiness
مبرووك مقدمأ للقطاع سابك. التصنيع في اسعار جدا زهيده خاصتأ التصنيع	p	Happiness
اسلاك توزع ارباح !!	t	Anger
ياحبهم هنا للمضاربة وتكسيب البنوك ومنصات التداول تحياتي	n	Anger
الله يجعلها خير وبركة ونفع لجميع من في السوق	p	Happiness
ههههههه إن شاء الله يارب نرزق ملاكه كل خير	p	Happiness
مبروك عليك يا بطل ماشاء الله خبري صديق وفرة ثمار وشمس ومبرد	p	Happiness
اليوم بوادر ايجابية . يدخل الايجابية اغلاق فوق 9.06...	p	Happiness
ان شاء الله غدا الاربعاء اخضر يسر الناظرين وفالكم اختراق القمه الراجحي احتمال يقود السوق 11146	p	Happiness
واياك يابعدي ربي يسعدك	p	Happiness
مشكوووووور والله يعطيك الف عافيه ماقصرت جزاك الله خير بالتوفيق يارب	p	Happiness
ماشاء الله يستاهلو الخير ملاكو	p	Happiness
احسنت والله بورك فيك	p	Happiness
تسلم حبيب اخوه ربي يحفظك ويسعدك ياتاج راسي	p	Happiness
حنهيص يعني بكرى الراجحي عم السوق مبروك لملاكه تحياتي لك يا بوعبدالله	p	Happiness
وفقكم الله وفالكم الربح يالعزوه	p	Happiness
مبروك العطاء لأسهم الأماكن المقدسة جبل عمر مكة طيبة	p	Happiness
طيب لاتحلف يمكن بكره اصير هامور في الاسهم وشارك الهوامير في فلوسك. ههههههه وخذها منك ونت مبسوط.	p	Happiness
خذ مجموعة تداول واعتبرها هدية مني لك وانت تستاهل [/font]	p	Happiness
مشكوووور يابو عبدالله لا عدمناك	p	Happiness
اي نعم كيف عرفت ؟! مفطر فول ومصقع وبيض مقلي الحمد لله	p	Happiness
العفو حبايبي شكرا لمروركم	p	Happiness
ماشاء الله صرف 2 ريال	p	Happiness
شكر وتقدير واحترام على طيبة قلبك وسمو اخلاقك	p	Happiness
تمام تمااااام من كل قلبي اشكركم جدااا جدااا وعلى راسي والله	p	Happiness
الله يجزاك خير يا محاضر وشكرا ع التوضيح ومرورك العطر	p	Happiness
مشكور على الخدمة يا مقْدام التعاونية و الراجحي و بوبا	p	Happiness
الله عليك تسلم يمناك	p	Happiness
ههههههههههههههه كفشت المطوع بس خلك ذيب تراه ما عنده يمه ارحميني معلق اغلب الشعب	n	Anger
وانت الاروع غمرني السرور بمروركم جميعاً	p	Happiness
سبكيم الان شاد حيله	p	Happiness
الله يبارك فيك تسلم	p	Happiness
مشكووور .. لاهنت طال عمرك	p	Happiness
نعم احسنت في ما كتبت	p	Happiness
ووجهك يالغالي ورحم الله والديك 🌸	p	Happiness
يجري حول المضمار 👍👍	p	Happiness
مبرووك الهدف الاول 37.65	p	Happiness
ماشاء الله الموارد 133.80	p	Happiness
ممتاز لكن هل هناك امر اخر زياده او رفع راس المال ومشكور ياسر	t	Happiness
مشكووووووووور صاحب الموضوع مشغول في موبايلي	t	Happiness
ارحب يالسحيمي زمان يافن يسعد مساك	p	Happiness
الحمــــد لله على السلااااااامه	p	Happiness
هلا بالمضياف سمعنا قريب	p	Happiness
مرحبا العزوه حياك الله	p	Happiness
جعل والديك في الجنة اجل تذكرني الله يسعدك والله كانت فترة وش زينها تهبل اسعدني وشرفني تعليقك خذ 💐	p	Happiness
مجمل ومشكور يااابومحمد مجهوداتكم مع بقية الاخوان تذكر فتشكر في المتابعة اليومية	p	Happiness
بيض الله وجهــــــــــــك ورحم الله والديك	p	Happiness
طرحك متميز اشكرك على هالموضوع	p	Happiness
أستاذنا الفاضل أجمل سهم وأجمل صيده وقبل ذلك كله أحلى وأجمل محلل بالمنتدى	p	Happiness
هلا اخوي نورت الموضوع اسعدك الله	p	Happiness
بيض الله وجيهكم جميعاً ماقصرتم وضحت وضحت	p	Happiness
اشكرك اخي الفاضل على مداخلتك لك مني كل الشكر والتقدير	p	Happiness
أهم شي يوزعون أي شي ، ارباح أسهم كراتين شراريب أي شي 😅	t	Happiness
من الثلاثينات فكرنا وخلصنا 🤣🤣🤣	p	Happiness
حياك الله بين اخوانك	p	Happiness
هههههههه يكفي الرد هذا	p	Happiness
طبقها الان بردك القادم ولا بنكمل شرح لين تدوخ 😂😂 منتظرين صوره منك الان لاهنت 👌😎	p	Happiness
صح لسانك يا عزيزي	p	Happiness
أشكرك على هذه الاضافة الثمينة	p	Happiness
مبروك ما تحقق و شكراً لمروركم الكريم	p	Happiness
